"ID","Team","Title","Description","Status","Estimate","Priority","Project ID","Project","Creator","Assignee","Labels","Cycle Number","Cycle Name","Cycle Start","Cycle End","Created","Updated","Started","Triaged","Completed","Canceled","Archived","Due Date","Parent issue","Initiatives","Project Milestone ID","Project Milestone","SLA Status","UUID","Time in status (minutes)","Related to","Blocked by","Duplicate of"
"AWA-6","Awaqi","FR-03 Support HTML, PDF, and OCR extraction","The system shall support three document retrieval modes: HTML page text extraction, PDF text extraction via PyMuPDF, and OCR-based extraction via Tesseract as fallback for image-only PDFs. The extraction mode shall be selected automatically based on the PDF's text-layer presence.

Verification: Unit tests per extraction mode with representative fixture documents.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.313Z","2026-04-21T18:40:58.352Z",,,,,,,,"",,,,"2d6f6c0f-7867-40a5-acce-27129f1dacdc",58259,"","",
"AWA-5","Awaqi","FR-01 Daily scheduled scraping job","The system shall execute a scheduled scraping job daily at 00:00 EAT via a Cron scheduler. The job shall scan the MoR website's Proclamations, Directives, and Announcements pages for new or updated documents.

Verification: Automated test to verify cron execution log contains a success entry at 00:00 ±5 min.","Backlog",,"High","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.276Z","2026-04-30T18:40:17.221Z",,,,,,,,"",,,,"223b819a-b79c-48cc-afd4-70feacd455e7",58259,"","",
"AWA-43","Awaqi","FR-39 Compute monthly evaluation metrics","The system shall compute Exact Match, F1 Score, and BERTScore monthly using the anonymized query log against a curated gold-standard test set of 100 labelled queries. Results shall be displayed in the Admin Dashboard analytics section.

Verification: Integration test running the evaluation pipeline on a seeded test set and asserting all three metrics are computed and stored.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:58.167Z","2026-04-30T18:39:53.455Z",,,,,,,,"",,,,"fb3dd172-31a4-48d2-8505-b9d089d591f3",58258,"","",
"AWA-40","Awaqi","FR-36 Show real-time health metrics","The Admin Dashboard shall display real-time system health metrics including server CPU and RAM utilization, rolling 5-minute LLM API response latency, vector database query latency, and Telegram bot webhook status, refreshed every 30 seconds.

Verification: Integration test asserting the metrics endpoint returns all required fields with recent timestamps.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:36.875Z","2026-04-30T18:39:25.499Z",,,,,,,,"",,,,"9b3024c1-a204-4ac1-97ba-3a0e98825650",58258,"","",
"AWA-39","Awaqi","FR-35 Detect duplicate uploads before overwrite","When upload processing detects that a document's content hash already exists in the vector database, the system shall alert the admin that identical content has already been indexed and offer overwrite or cancel. An overwrite shall atomically delete all chunks associated with the existing document_id before re-indexing.

Verification: Integration test uploading the same document twice and asserting a duplicate detection prompt appears on the second upload.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:36.726Z","2026-04-30T18:39:18.908Z",,,,,,,,"",,,,"44450082-e3a1-4b34-8167-120684b4cb0e",58258,"","",
"AWA-35","Awaqi","FR-31 Support saved chats and citations","Registered users shall be able to view past conversation sessions with date and time labels, export a conversation transcript as PDF or plain text, save individual citations to a bookmarks list, and delete individual sessions or all history.

Verification: UI tests for each sub-requirement using a seeded test user account.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:34.509Z","2026-04-30T18:38:35.298Z",,,,,,,,"",,,,"ccecaf04-edcc-4c90-880a-11ef10a90633",58258,"","",
"AWA-28","Awaqi","FR-24 Refuse abusive or off-topic queries","The system shall detect and refuse to process queries containing profane, abusive, or off-topic content using a lightweight content classifier. The refusal message shall be polite and invite the user to resubmit a tax-related query.

Verification: Test submitting flagged query fixtures and asserting all are refused with the correct message.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:14:14.682Z","2026-04-21T18:41:44.356Z",,,,,,,,"",,,,"3d6e181e-7cf0-4c91-ac31-74c22743d930",58259,"","",
"AWA-17","Awaqi","FR-13 Show indexing progress stages","The system shall display a real-time progress indicator in the Admin Dashboard during indexing, showing the current pipeline stage: Parsing, Chunking, Embedding, and Indexing. The document status shall update to 'Active/Searchable' only upon successful completion of all stages.

Verification: UI test monitoring the Admin Dashboard during upload and asserting all four stages are displayed sequentially.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:50.744Z","2026-04-30T18:35:33.497Z",,,,,,,,"",,,,"53328930-d15e-443b-a390-b6d2bb379a0d",58259,"","",
"AWA-11","Awaqi","FR-07 Allow ad-hoc scraping from admin UI","The admin shall be able to manually trigger an ad-hoc scraping run from the Knowledge Base Manager at any time, bypassing the scheduled run.

Verification: UI test clicking 'Sync / Re-index' and verifying the scraper execution log shows a triggered run.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.566Z","2026-04-30T18:33:58.700Z",,,,,,,,"",,,,"8dbb8183-c926-48aa-8f55-cc97d6a19139",58259,"","",
"AWA-9","Awaqi","FR-06 Flag low-confidence OCR for manual review","When the scraper encounters a scanned PDF for which OCR confidence is below 70%, the document shall be flagged as 'Requires Manual Review' in the Admin Dashboard and excluded from indexing. The admin shall be able to provide a corrected text file to complete the ingestion.

Verification: Test ingesting a deliberately low-quality scanned PDF and asserting the flag appears in the Admin Dashboard.","Backlog",,"Medium","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:13:49.365Z","2026-04-30T18:32:45.171Z",,,,,,,,"",,,,"b966aa34-5113-4b3b-9ce9-ce74fa176188",58259,"","",
"AWA-98","Awaqi","Add operational alerts for critical failures","Configure alerts for scraper, indexing, chat, and deployment failures.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:29:28.516Z","2026-04-30T18:24:58.114Z",,,,,,,,"",,,,"b25b5a75-7017-4a89-851c-d4d53db5f7a6",58244,"","",
"AWA-97","Awaqi","Set up error tracking integration","Integrate application error tracking for frontend and backend runtime failures.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:29:28.410Z","2026-04-30T18:24:45.918Z",,,,,,,,"",,,,"969ba5af-4dc1-4ffe-bf8b-33695a1de733",58244,"","",
"AWA-96","Awaqi","Configure domain and HTTPS for deployed app","Set up the deployment domain, TLS certificates, and HTTPS routing.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:29:28.282Z","2026-04-30T18:24:37.207Z",,,,,,,,"",,,,"b5cc8f46-e106-4960-9266-80f0e3dc9803",58244,"","",
"AWA-92","Awaqi","Provision staging environment","Set up the staging environment for end-to-end testing and reviews.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:29:28.206Z","2026-04-30T18:23:36.271Z",,,,,,,,"",,,,"44f96767-f37a-4c08-897c-90e39ba00ad1",58244,"","",
"AWA-90","Awaqi","Open citations into source detail view","Add the UI flow for opening a citation and viewing its linked source details.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:29:27.820Z","2026-04-30T18:22:51.466Z",,,,,,,,"",,,,"dbf384ae-648e-4f4a-bc9b-c0076ab2c5f6",58244,"","",
"AWA-74","Awaqi","NFR-26 Preserve Ethiopic Unicode without corruption","Amharic Unicode integrity across the Ethiopic script range must have zero character corruption end-to-end.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:15:19.857Z","2026-05-01T07:16:31.603Z",,,,,,,,"",,,,"90878036-2dc3-4f79-a89d-8e018c03d13c",58258,"","",
"AWA-64","Awaqi","NFR-17 Store no PII in logs or database","No PII such as TIN, name, phone, or email may be stored, processed, or transmitted in logs or database records.","Backlog",,"No priority","9b4fda19-15b7-43cc-b075-95f7124bcc52","awaqi","baslielselamu2018@gmail.com","baslielselamu2018@gmail.com","",,,,,"2026-04-01T12:15:18.491Z","2026-04-30T19:14:07.968Z",,,,,,,,"",,,,"6225908a-fa40-4d30-841d-505cc954e2f0",58258,"","",
